Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
BHPL,194.3,213.7,194.3,370.0,213.7,0.0,"78,066.70",04-01-2023
BHPL,217.9,235.0,217.9,370.0,235.0,213.7,"86,528.00",05-01-2023
BHPL,217.9,235.0,217.9,370.0,235.0,213.7,"86,528.00",06-01-2023
BHPL,217.9,235.0,217.9,370.0,235.0,213.7,"86,528.00",07-01-2023
BHPL,239.7,258.5,239.7,430.0,258.5,235.0,"110,689.00",08-01-2023
BHPL,263.6,284.3,263.6,340.0,284.3,258.5,"96,150.00",09-01-2023
BHPL,289.9,312.7,289.9,"1,140.00",312.7,284.3,"355,915.00",10-01-2023
BHPL,289.9,312.7,289.9,"1,140.00",312.7,284.3,"355,915.00",11-01-2023
BHPL,318.9,343.9,318.9,"2,890.00",343.9,312.7,"993,256.00",12-01-2023
BHPL,318.9,343.9,318.9,"2,890.00",343.9,312.7,"993,256.00",13-01-2023
BHPL,318.9,343.9,318.9,"2,890.00",343.9,312.7,"993,256.00",14-01-2023
BHPL,318.9,343.9,318.9,"2,890.00",343.9,312.7,"993,256.00",15-01-2023
BHPL,318.9,343.9,318.9,"2,890.00",343.9,312.7,"993,256.00",16-01-2023
BHPL,350.70,378.20,350.70,"4,980.00",378.20,343.90,"1,880,773.00",17-01-2023
